entity,lang,creator
#allergie,it,,
#allergia,it,,
#pollini,it,,
#polline,it,,
#naso,it,,
#vivereconallergie,it,,
allergia,it,,
sintomi,it,,
allergie graminacee,it,,
graminacee,it,,
@Arpal_pollini,it,,
cipresso,it,,
betulla,it,,
spore di Alternaria,it,,
Alternaria,it,,
acari,it,,
polvere,it,,
#smog,it,,
#inquinamento,it,,
#pm10,it,,
betulacee,it,,
composite,it,,
corilacee,it,,
fagacee,it,,
oleacee,it,,
plantaginacee,it,,
cuprex-taxacee,it,,
Urticacee,it,,
cheno-amarantacee,it,,
amarantacee,it,,
poligonacee,it,,
euforbiacee,it,,
euphorbiacee,it,,
ulmacee,it,,
plantanacee,it,,
aceracee,it,,
pinacee,it,,
salicacee,it,,
epicocco,it,,
stemphilio,it,,
stemfilio,it,,
cladosporio,it,,



